,CAS,,Compound name,Compoundflags
,CAS,,Compound name,Compound flags
1.,6983-79-5,,bixin,P E S
2.,616-38-6,,dimethyl carbonate,P S
3.,2499-59-4,,octyl prop-2-enoate,P E S R
4.,105-58-8,,diethyl carbonate,Q E S R
5.,623-53-0,,ethenyl icosyl carbonate,Q E S
6.,77-90-7,,tributyl acetylcitrate,Q E S
7.,31773-95-2,,oleuropein aglycone,P S
8.,174511-64-9,,ligustroside aglycone,P S
9.,108-32-7,,propylene carbonate,P E S
10.,,,bis(methylbutyl) carbonate (unkn.str.),P
11.,67633-96-9,,(Z)-3-Hexenyl methyl carbonate,S R
12.,67879-62-3,,diphenethyl carbonate,P E
13.,107-31-3,,methyl formate,Q S O T
14.,1200-67-5,,Isobornyl formate,P E S
15.,109-94-4,,ethyl formate,Q E S R O T
16.,122-68-9,,3-Phenylpropyl cinnamate,P E S O
17.,103-59-3,,Cinnamyl isobutyrate,Q E S R
18.,,,"2,2-dimethyl-1-(2-hydroxy-1-methylethyl)propyl 2-methylpropanoate",P S R
19.,140-27-2,,Cinnamyl isovalerate,Q E S R
20.,479-61-8,,chlorophyll a,P S
21.,519-62-0,,chlorophyll b,P S
22.,63791-85-5,,ethyl 2-ethyl-3-methylbutanoate,S
23.,122-51-0,,triethyl orthoformate,Q E S
24.,110-74-7,,propyl formate,P E S T
25.,625-55-8,,isopropyl formate,P E S T
26.,5129-66-8,,methyl 12-methyltetradecanoate,Q S
27.,625-58-1,,"nitric acid, ethyl ester",P S
28.,1838-59-1,,allyl formate (=2-propenyl formate),P E S R
29.,592-84-7,,butyl formate,Q E S R T
30.,5655-61-8,,l-Bornyl acetate,Q E S
31.,40266-29-3,,"(Z,E)-2,6-farnesyl acetate",P E S R
32.,24163-97-1,,"(2Z,6Z)-farnesyl acetate",P S
33.,126182-13-6,,farnesyl valerate,P E S
34.,,,11-tetradeceniol acetate (unkn.str.),
35.,24163-98-2,,"(2E,6Z)-farnesyl acetate",P S
36.,85611-33-2,,(E)-nerolidyl acetate,P S R
37.,58130-58-8,,"(E)-2,3-dihydrofarnesyl acetate",P S
38.,91050-14-5,,(Z)-nerolidyl acetate,P S R
39.,1912-33-0,,methyl indole-3-acetate,E S
40.,487-89-8,,1H-indole-3-carboxaldehyde,E S
41.,104857-55-8,,"(E,E)-farnesyl propanoate",P E S
42.,24567-27-9,,2-hydroxyethyl propionate,S
43.,542-55-2,,isobutyl formate,Q E S R T
44.,589-40-2,,sec-butyl formate,Q E S
45.,58368-66-4,,2-pentyl formate,P E S
46.,35073-27-9,,2-methylbutyl formate,P S T
47.,,,methylbutyl formate (unkn.str.),P
48.,68480-28-4,,3-methyl-2-butenyl formate (=prenyl formate),Q E S R
49.,638-49-3,,pentyl formate,P E S R
50.,110-45-2,,isopentyl formate,Q E S R O T
51.,629-33-4,,hexyl formate,Q E S
52.,,,2-hexenyl formate,
53.,53398-78-0,,(E)-2-hexenyl formate,Q E S R
54.,2315-09-5,,3-hexenyl formate,P S
55.,33467-73-1,,(Z)-3-hexenyl formate,Q E S R
56.,56922-80-6,,trans-3-hexenyl formate,P E
57.,28261-05-4,,hexenyl formate (unkn.str.),
58.,112-23-2,,heptyl formate,Q E S R
59.,112-32-3,,octyl formate,Q E S R
60.,84434-65-1,,1-ethylhexyl formate,E S
61.,,,1-octen-3-yl formate,P E
62.,105-85-1,,citronellyl formate,Q E S R
63.,105-86-2,,geranyl formate,Q E S R T
64.,2142-94-1,,neryl formate,Q E S R
65.,115-99-1,,linalyl formate,Q E S R O
66.,63321-70-0,,"octanoic acid, 2-ethylhexyl ester",P E S
67.,2153-26-6,,α-terpinyl formate,Q E S R O
68.,,,terpinyl formate (unkn.str.),P
69.,58096-46-1,,caryophyllene formate,P S
70.,104-57-4,,benzyl formate,Q E S R T
71.,56847-05-3,,"9-octadecen-12-ynoic acid, methyl ester",Q S
72.,30649-97-9,,methyl myrtenate,P S
73.,104-62-1,,phenethyl formate,Q E S R T
74.,104-65-4,,cinnamyl formate,E S
75.,23510-72-7,,(E)-cinnamyl formate,P E S
76.,29239-07-4,,carvyl formate,S
77.,56423-41-7,,cis-carvyl formate,P
78.,56423-42-8,,trans-carvyl formate,P S
79.,2230-90-2,,menthyl formate,P E S
80.,72928-52-0,,myrtenyl formate,P E S
81.,122-91-8,,p-anisyl formate,Q E S R T
82.,7492-41-3,,bornyl formate,Q E S R O
83.,51-79-6,,ethyl carbamate (=urethane),Q E S T
84.,687-48-9,,"ethyl N,N-dimethylcarbamate",Q E S T
85.,2621-78-5,,N-benzyl O-ethyl carbamate,Q E S
86.,79-20-9,,methyl acetate,Q E S R O T
87.,1445-45-0,,trimethyl orthoacetate,P S
88.,141-78-6,,ethyl acetate,Q E S R O T
