,CAS,,Compound name,Compoundflags
,CAS,,Compound name,Compound flags
1.,124-38-9,,carbondioxide,P T
2.,75-21-8,,"1,2-epoxyethane (=ethylene oxide, oxirane)",P E T
3.,96-09-3,,"1-phenyl-1,2-epoxyethane",E T
4.,5076-19-7,,"2,3-epoxy-2-methylbutane (=trimethyloxirane)",P E
5.,1436-34-6,,"1,2-epoxyhexane",P E
6.,5063-65-0,,"1,2-epoxyheptane",Q E
7.,102369-06-2,,"2,3-epoxydecanal",E T
8.,,,ocimene oxide,Q E
9.,28977-57-3,,(E)-epoxy-β-ocimene,Q E R
10.,33281-83-3,,(Z)-epoxy-β-ocimene,Q E R
11.,94607-48-4,,(Z)-ocimene oxide (unkn.str.),Q
12.,94607-47-3,,(E)-ocimene oxide (unkn.str.),Q
13.,85624-39-1,,ocimene epoxide (unkn.str.),Q E
14.,29414-55-9,,myrcene epoxide,Q E R O
15.,79468-29-4,,myrcene oxide,Q E R
16.,78307-41-2,,3-(3-ethyl-2-oxiranyl)-2-propenal,Q E
17.,69511-21-3,,"trans-4,5-epoxy- (E)-2-heptenal",E R T
18.,51007-38-6,,"trans-2,3-epoxyoctanal",Q E R O T
19.,134452-45-2,,"(E)-4,5-epoxy-(E)-2-octenal",R O T
20.,128386-31-2,,"(E)-4,5-epoxy-(E)-2-nonenal",P R O T
21.,134454-31-2,,"trans-(E)-4,5-epoxy-2-decenal",Q E S R O T
22.,154002-67-2,,"cis-4,5-epoxy-(E)-2-decenal",P E R
23.,188590-62-7,,"(E)-4,5-epoxy-2-decenal",Q E R O T
24.,1239976-90-9,,"(2E,7Z)-trans-4,5-epoxy-2,7-decadienal",Q E R O
25.,83637-40-5,,(E)-farnesene epoxide,P E R
26.,134346-43-3,,"(E)-4,5-epoxy-(E)-2-undecenal",P R O T
27.,19780-35-9,,"ethyl 2,3-epoxybutanoate",Q E R
28.,17023-75-5,,"4,5-epoxy-p-1-menthene",Q E
29.,2437-97-0,,"6,8-epoxy-p-1-menthene (=pinol)",Q E
30.,289-66-7,,2H-pyran,Q S R
31.,,,"6,9-epoxy-p-1-menthene",P
32.,,,"1,2-epoxy-p-4-menthene",Q
33.,120749-18-0,,"1,2:3,4-diepoxy-p-8-menthene",P E
34.,512-85-6,,ascaridole,Q E R
35.,287968-09-6,,trans-ascaridole,Q E R
36.,6790-83-6,,ascaridole glycol,Q E R
37.,120749-17-9,,"1,4-epidioxy-p-2,8-menthadiene",P E
38.,3720-22-7,,"tetrahydro-3,6-dimethyl-2H-pyran-2-one",P E S R
39.,4584-23-0,,"terpinolene 4,8-oxide",Q E
40.,,,"trans-2,3-epoxy-p-8-menthen-1-ol",P E
41.,,,terpinolene oxide (unkn.str.),P
42.,60485-46-3,,artemiseole,E R
43.,1195-92-2,,"limonene 1,2-oxide",Q E S R O T
44.,31684-93-2,,"limonene 8,9-oxide",Q E R T
45.,28098-68-2,,"(R)-limonene 8,9-endo-epoxide (=cis-limonene 8,9-oxide)",Q E T
46.,28098-67-1,,"(R)-limonene 8,9-exo-epoxide (=trans-limonene 8,9-oxide)",Q E T
47.,,,limonene oxide (unkn.str.),Q
48.,13837-75-7,,"cis-limonene 1,2-oxide",Q E R O T
49.,4680-24-4,,"(4R)-(+)-cis-limonene-1,2-epoxide",T
50.,4959-35-7,,"trans-limonene 1,2-oxide",Q E R O T
51.,6909-30-4,,"(4R)-(+)-trans-limonene-1,2-epoxide",T
52.,96-08-2,,limonene diepoxide,Q E
53.,19888-33-6,,humulene epoxide I,Q E S R O T
54.,19888-34-7,,humulene epoxide II,Q E R O T
55.,21624-36-2,,humulene epoxide III,Q E R O
56.,,,humulene epoxide (unkn.str.),Q R
57.,74282-07-8,,"humulene 8,9-epoxide",E
58.,120668-49-7,,humulene diepoxide 1,Q
59.,120668-50-0,,humulene diepoxide 2,Q
60.,120668-51-1,,humulene diepoxide 3,P
61.,120668-52-2,,humulene diepoxide 4,Q
62.,,,humulene diepoxide II,P
63.,40822-04-6,,humulene diepoxide,Q E
64.,142792-93-6,,longipinene epoxide,Q E R
65.,2225-98-1,,"carene 3,4-epoxide",P E R
66.,62413-92-7,,2-carene epoxide,E R T
67.,143785-42-6,,"calamenen-1,11-epoxide",Q E R
68.,72881-14-2,,"menthol 1,2-oxide",E
69.,103476-52-4,,"(+)-cis-menthol 1,2-oxide",Q E
70.,,,"neomenthol 1,2-oxide",Q E
71.,,,"cis-1,2-epoxy-4-terpineol",P E
72.,94133-24-1,,cis-piperitol oxide,P E
73.,94133-23-0,,trans-piperitol oxide,P E
74.,294634-38-1,,isopulegol epoxide,P E
75.,5286-38-4,,piperitone oxide,Q E R
76.,57130-28-6,,cis-piperitone oxide,Q E R T
77.,4713-37-5,,trans-piperitone oxide,Q E R
78.,125185-60-6,,4-hydroxypiperitone oxide,P
