,CAS,,Compound name,Compoundflags
,CAS,,Compound name,Compound flags
1.,826337-64-8,,2-methyl-3-methylidenecyclopentane-1-carbaldehyde,E S
2.,67-64-1,,"acetone (=2-propanone, dimethyl ketone)",Q E S R O T
3.,,,"2,2-dimethyl-1-[2-(2-methyl-2-propanyl)cyclopropyl]-1-propanone",P E S
4.,116-09-6,,"1-hydroxy-2-propanone (=acetol, pyruvic alcohol)",Q E S R O T
5.,5878-19-3,,1-methoxy-2-propanone,P E S
6.,5774-26-5,,"1,1-diethoxy-2-propanone",Q E S
7.,78-93-3,,2-butanone (=ethyl methyl ketone),Q E S R O T
8.,109-49-9,,Hex-5-en-2-one,E S R
9.,23696-85-7,,"1-(2,6,6-Trimethylcyclohexa-1,3-dienyl)-2-buten-1-one",Q E S R O
10.,69050-59-5,,"4-(5-hydroxy-2,6,6-trimethyl-1-cyclohexen-1-yl)-3-buten-2-one",S R
11.,78-94-4,,3-buten-2-one,Q E S R O T
12.,563-80-4,,3-methyl-2-butanone,Q E S R O T
13.,41702-60-7,,"2-methyl-6-methylene-1,7-octadien-3-one",S R
14.,814-78-8,,3-methyl-3-buten-2-one,Q E S R T
15.,75-97-8,,"2,2-dimethyl-3-butanone",P E S R T
16.,5077-67-8,,1-hydroxy-2-butanone,Q E S
17.,30557-76-7,,khusimone,P S R
18.,513-86-0,,3-hydroxy-2-butanone (=acetoin),Q E S R O T
19.,53584-56-8,,(R)-3-hydroxy-2-butanone,P E S
20.,78183-56-9,,(S)-3-hydroxy-2-butanone,P S
21.,590-90-9,,4-hydroxy-2-butanone,P E S R O
22.,29994-40-9,,hydroxy-2-butanone (unkn.str.),Q R
23.,1679-38-5,,3-ethoxy-2-butanone,Q S
24.,60044-74-8,,4-ethoxy-2-butanone,Q S
25.,115-22-0,,3-hydroxy-3-methyl-2-butanone,P S T
26.,51933-13-2,,"3,3-diethoxy-2-butanone",Q E S
27.,6672-30-6,,(R)-(+)-3-methylcyclopentanone,P S
28.,20082-91-1,,"4,4-diethoxy-2-butanone",P S
29.,431-03-8,,"2,3-butanedione (=diacetyl)",Q E S R O T
30.,17429-35-5,,"4-ethyl-3,4-dimethyl-2,5-cyclohexadien-1-one",E S R
31.,55162-56-6,,"4,4-dimethyl-3-phenyl-2,5-cyclohexadien-1-one",S
32.,107-87-9,,2-pentanone,Q E S R O T
33.,4359-77-7,,3-methylene-2-pentanone,E S R
34.,3470-54-0,,5-aminoindan-1-one,E S
35.,13909-73-4,,"1-(2,3,4-trimethoxyphenyl)-ethanone",E S R
36.,,,2-(2-butoxyethoxy)ethanone,R
37.,451-40-1,,"1,2-diphenylethanone",S
38.,96-22-0,,3-pentanone,Q E S R O T
39.,625-33-2,,3-penten-2-one,Q E S R O T
40.,70987-82-5,,"1-(1,2-dimethyl-cyclopent-2-enyl)-ethanone",Q S
41.,3102-33-8,,(E)-3-penten-2-one,Q E S R
42.,3102-32-7,,(Z)-3-penten-2-one,Q E S
43.,13891-87-7,,4-penten-2-one,Q E S
44.,1629-58-9,,1-penten-3-one,Q E S R O T
45.,1890-28-4,,"1,4-pentadien-3-one",E S
46.,553-84-4,,perilla ketone,E S R
47.,565-61-7,,3-methyl-2-pentanone,Q E S R T
48.,53398-09-7,,3-oxo-α-damascone,E S
49.,108-10-1,,4-methyl-2-pentanone,Q E S R O T
50.,7779-30-8,,"1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-1-Penten-3-one",E S T
51.,565-69-5,,2-methyl-3-pentanone,Q E S R O T
52.,25044-01-3,,2-methyl-1-penten-3-one,P E S
53.,141-79-7,,4-methyl-3-penten-2-one (=mesityl oxide),Q E S R O T
54.,61570-82-9,,5-hydroxy-p-menth-6-en-2-one,Q E S
55.,3744-02-3,,4-methyl-4-penten-2-one,P E S
56.,,,dimethyl-3-penten-2-one (unkn.str.),P
57.,3142-66-3,,3-hydroxy-2-pentanone (=acetyl ethyl carbinol),Q E S R O T
58.,113919-08-7,,(R)-3-hydroxy-2-pentanone,P S
59.,132881-72-2,,(S)-3-hydroxy-2-pentanone,P S
60.,4161-60-8,,4-hydroxy-2-pentanone,Q S R
61.,5704-20-1,,2-hydroxy-3-pentanone,Q S R O T
62.,113919-09-8,,(R)-2-hydroxy-3-pentanone,P S
63.,125948-63-2,,(S)-2-hydroxy-3-pentanone,P S
64.,,,hydroxypentanone (unkn.str.),Q
65.,52704-36-6,,3-hydroxy-3-penten-2-one,P S
66.,17429-04-8,,5-methoxy-2-pentanone,P S
67.,65915-75-5,,3-ethoxy-2-pentanone,P S
68.,33330-50-6,,4-ethoxy-2-pentanone,Q S R
69.,79926-00-4,,4-(2-methylbutoxy)-2-pentanone,P S
70.,79925-97-6,,4-(3-methylbutoxy)-2-pentanone,P S
